repository_name_with_owner;Project;description;repository_url;commit_hash
aharin/jerseytester;jerseytester;Jersey Tester;https://github.com/aharin/jerseytester;de8cb2f516b9e4aefb6eef9d390eb14e941830f5
AHeise/ozone-testing;ozone-testing;;https://github.com/AHeise/ozone-testing;65ca86b6e25f0a240ebce008ccbb9998acf3e6eb
ahome-it/lienzo-core;lienzo-core;Lienzo-Core is GWT library for high-speed Structued Graphics based on the Canvas element;https://github.com/ahome-it/lienzo-core;8e03723700dec366f77064d12fb8676d8cd6be99
ahome-it/lienzo-tests;lienzo-tests;Ahome Lienzo Testing Framework.;https://github.com/ahome-it/lienzo-tests;f755b2071b631f3f91d6ecd7bb980786a068159d
aiderpmsi/libHprim;libHprim;Librairie de lecture de fichiers HPRIM;https://github.com/aiderpmsi/libHprim;08b82c96af8ba0746b75af448b0b15607f4926ed
aimmac23/selenium-video-node;selenium-video-node;Selenium Grid plugin that records videos of running tests;https://github.com/aimmac23/selenium-video-node;8b1fea0838185b31a375e06eb0668f9962b9fcea
airomem/airomem;airomem;Prevayler based persistence engine;https://github.com/airomem/airomem;281ce18ff64836fccfb0edab18b8d677f1101a32
aispl/ais-commons-application;ais-commons-application;This library provides set of reusable components useful for building Web Applications.;https://github.com/aispl/ais-commons-application;90b5c2bb849aa58336088374e5e81b100d120544
aispl/ais-commons-bean;ais-commons-bean;This library provides set of reusable components useful for bean validation and proxying.;https://github.com/aispl/ais-commons-bean;c027ad7f14b3ec948fadcb222fe43f4a77470e71
aispl/ais-commons-domain;ais-commons-domain;This library provides set of reusable components useful for modeling domain.;https://github.com/aispl/ais-commons-domain;c3b9c32bd8fb12aeced91551a72f6f0f08381119
aispl/net-sf-aislib;net-sf-aislib;AisLib application framework;https://github.com/aispl/net-sf-aislib;fc095db9e799823fa9f4ca2aac63274ee382d63c
ajoberstar/gradle-git;gradle-git;Git plugins for Gradle;https://github.com/ajoberstar/gradle-git;03b08b9f8dd2b2ff0ee9228906a6e9781b85ec79
akamensky/XpressJ;xpressj;A Sinatra/Express.js inspired lightweight Java web framework;https://github.com/akamensky/xpressj;584a4458ac82610044189c5a715d7306a3cebed4
